Tokens,Count
?,0
giving,0
answer,0
thanks,0
dario,0
multitasking,0
bonus,0
lit,0
different,0
trackpad,0
design,0
simple,0
future,0
lintel,0
hd,0
end,0
factory,0
refurbished,0
opened,0
looked,0
scratch,0
id,0
video-block-rof3v205wcygk,0
class,0
a-section,0
a-spacing-small,0
a-spacing-top-mini,0
video-block,0
input,0
type,0
name,0
images-na.ssl-images-amazon.com,0
image,0
a14y3y1%,0
2bhes.mp4,0
video-url,0
61jgvpfrfgs.png,0
video-slate-img-url,0
nbsp,0
horrible,0
2015,0
trouble,0
black,0
view,0
content,0
strategic,0
place,0
glitch,0
ridiculous,0
waste,0
tried,0
contact,0
there,0
reply,0
acknowledgement,0
complaint,0
wonderful,0
fantastic,0
readable,0
bright,0
responsive,0
placed,0
97,0
via,0
cd,0
desktop,0
wifi,0
hitch,0
update,0
died,0
contacted,0
lenovo,0
shipping,0
repaired,0
customer,0
service,0
older,0
ibm,0
thinkpad,0
daughter,0
school,0
basically,0
excel,0
download,0
apps,0
playstore,0
know,0
allowed,0
hiccup,0
chrome,0
o,0
seem,0
improvement,0
poor,0
viewing,0
angle,0
directly,0
front,0
expect,0
tn,0
camera,0
sh,0
#,0
elegant,0
multi,0
flawless,0
who,0
lose,0
as,0
outside,0
campus,0
ordered,0
replacement,0
upgrade,0
thinner,0
lighter,0
softer,0
key,0
`,0
m,0
gamer,0
properly,0
connection,0
becomes,0
frustrating,0
typing,0
attempting,0
item,0
met,0
spectation,0
description,0
wrong,0
usb,0
2.0,0
3.0,0
micro,0
expectation,0
child,0
avid,0
writer,0
write,0
road,0
car,0
sometime,0
freeze,0
/,0
mic,0
jack,0
head,0
mono,0
hear,0
side,0
click,0
respond,0
cheap,0
honest,0
we'll,0
it'll,0
hinge,0
personal,0
expierence,0
pay,0
previous,0
alien,0
ware,0
mx17,0
hp,0
denied,0
they,0
cover,0
terrible,0
paperweight,0
functional,0
begun,0
reflective,0
vista,0
enjoy,0
convenience,0
fingerprint,0
user,0
tech-person,0
tell,0
space,0
actual,0
bare-bones,0
come,0
shortcut,0
frankly,0
useless,0
browser,0
eat,0
uninstall,0
3mb,0
icloud,0
store,0
po,0
ago,0
hate,0
fooled,0
cool,0
sleek,0
certified,0
grade,0
trash,0
shame,0
selling,0
defective,0
betamacs,0
dirty,0
nicely,0
taking,0
$1200,0
going,0
$200,0
newer,0
photoshop,0
aperture,0
iphoto,0
model,0
gigabyte,0
160,0
nvidia,0
geforce,0
gpu,0
intel,0
gma,0
fresh,0
snow,0
leopard,0
maverick,0
try,0
system,0
fair,0
amount,0
traveling,0
chose,0
gold,0
champagne,0
read,0
blue,0
showing,0
due,0
satin,0
netflix,0
cost,0
economical,0
alternate,0
business,0
downside,0
home,0
enterprise,0
play,0
cooling,0
efficient,0
nov,0
dec,0
partner,0
evaluate,0
differently,0
additional,0
23,0
27,0
pdf,0
2016,0
outlook,0
exchange,0
e-mail,0
server,0
condition,0
beautiful,0
hope,0
present,0
compatible,0
adequate,0
delivery,0
satisfactory,0
expected,0
screwed,0
pawn,0
shop,0
old,0
wasting,0
crap,0
malware,0
installed,0
downloded,0
past,0
staying,0
android,0
sensitive,0
print,0
granddaughter,0
her,0
allow,0
sibling,0
borrow,0
hassle,0
left,0
tap,0
empty,0
liking,0
satisfied,0
setup,0
recommended,0
mini,0
year-old,0
gateway,0
horsepower,0
research,0
bang,0
buck,0
spanking,0
discrete,0
card,0
excited,0
modern,0
released,0
half-life,0
cut,0
laptop's,0
capability,0
silver,0
heavier,0
bell,0
whistle,0
aforementioned,0
840m,0
skyrim,0
bioshock,0
infinite,0
tomb,0
raider,0
mixture,0
playable,0
framerates,0
audio,0
where,0
located,0
paired,0
dolby,0
theater,0
niceities,0
let's,0
reason,0
foremost,0
abysmal,0
describe,0
textured,0
point,0
thinking,0
smudged-looking,0
appearance,0
various,0
protective,0
remove,0
cleaning,0
nope,0
apparently,0
distracting,0
against,0
white,0
background,0
unfortunate,0
lacking,0
level,0
nonexistent,0
tweaked,0
reproduction,0
me,0
return,0
expecting,0
final,0
nail,0
coffin,0
experiencing,0
random,0
stuttering,0
rebooted,0
inevitably,0
happen,0
limp,0
across,0
folder,0
whatever,0
grace,0
happened,0
inside,0
baby,0
refund,0
unhappy,0
logic,0
learned,0
equivalent,0
purchasing,0
tower,0
through,0
sell,0
600,0
rockin,0
1000,0
win8.1,0
quit,0
ordering,0
client,0
scientific,0
instrument,0
negative,0
$400,0
grip,0
standard,0
t450s,0
256g,0
8g,0
$1300,0
$900,0
unreal,0
killer,0
recipient,0
rom,0
stuff,0
$249,0
plan,0
investment,0
s,0
company,0
d620,0
shipped,0
arrived,0
latitude,0
blotware,0
insprion,0
retail,0
concerned,0
60%,0
+,0
hold,0
lasting,0
tampa-laptops,0
helpful,0
question,0
delivered,0
wide,0
disk,0
portability,0
lag,0
netbook,0
2gb,0
chip,0
fyi,0
1gbpc2,0
6400,0
666mhz,0
sodimm,0
slot,0
$15,0
16,0
gb,0
filled,0
sd,0
realistic,0
muti,0
tasking,0
playing,0
loving,0
compared,0
17in,0
suggest,0
wanting,0
turning,0
$750,0
technical,0
period,0
diagnosed,0
applecare,0
took,0
familiar,0
standpoint,0
true,0
struggle,0
requirement,0
overheat,0
decided,0
coworkers,0
photography,0
handle,0
17,0
edit,0
retina,0
prefer,0
editing,0
youtube,0
tutorial,0
figured,0
saw,0
loading,0
umbrella,0
superb,0
chunk,0
drop,0
wife,0
trendy,0
understand,0
hype,0
promise,0
thin,0
manufacturer,0
wish,0
until,0
detachable,0
combination,0
restarting,0
plugged,0
previously,0
functioned,0
solution,0
resolve,0
before,0
posting,0
their,0
policy,0
state,0
eligible,0
resolved,0
shuts,0
mistake,0
300,0
dollar,0
saved,0
he,0
&,0
worried,0
break,0
told,0
lap,0
top,0
necessary,0
added,0
conflict,0
seamlessly,0
advertised,0
concern,0
limited,0
lack,0
our,0
she,0
remedied,0
charger,0
direction,0
opportunity,0
test,0
initial,0
magazine,0
mixed,0
feeling,0
earlier,0
offered,0
dream,0
ran,0
$2000,0
foot,0
planted,0
earth,0
afford,0
nor,0
missing,0
four,0
what's,0
reliability,0
area,0
detail,0
below,0
summary,0
delivers,0
concave,0
flat,0
trade-off,0
notebook,0
coding,0
fall,0
short,0
breaker,0
flaw,0
done,0
touch-tap,0
hit,0
accident,0
somewhere,0
field,0
accidentally,0
losing,0
you've,0
entered,0
part,0
durability,0
mechanism,0
traditional,0
separate,0
button,0
mac-like,0
gesture,0
scrolling,0
sizing,0
useful,0
exist,0
resisted,0
off-the-shelf,0
awful,0
800,0
pixel,0
tall,0
1920x1080,0
crisp,0
weak,0
spoiling,0
dead,0
improve,0
benefited,0
being,0
larger,0
capacity,0
recently,0
4th,0
generation,0
5th,0
quad-core,0
fourth,0
fifth,0
heat,0
experimenting,0
throttling,0
cpu,0
brightness,0
generate,0
outlet,0
note,0
air,0
fan,0
practically,0
silent,0
strong,0
i'd,0
opt,0
external,0
mentioned,0
packed,0
12,0
appropriately,0
bottleneck,0
hdd,0
served,0
action,0
tb,0
slower,0
case,0
implication,0
trying,0
record,0
channel,0
high-quality,0
your,0
typical,0
usage,0
hampered,0
workstation-class,0
close,0
minimum,0
inspire,0
confidence,0
generates,0
worry,0
equal,0
heating,0
component,0
largest,0
source,0
wear,0
internals,0
dy,0
tap-click,0
roast,0
alternative,0
dual-core,0
wait,0
generation-based,0
ignored,0
shortly,0
unavoidable,0
factor,0
decision,0
making,0
benefit,0
pain,0
relative,0
recent,0
personally,0
duration,0
rating,0
overseas,0
occasionally,0
range,0
smartphone,0
forgivable,0
ahead,0
waited,0
stabilize,0
:,0
mobile,0
touch-pad,0
nightmare,0
process,0
figuring,0
dealing,0
motherboard,0
optical,0
replaced,0
supply,0
instruction,0
decisionii,0
"""",0
everyday,0
advertise,0
selection,0
greatest,0
rig,0
casual,0
list,0
tested,0
upped,0
dedicated,0
512,0
mb,0
portal,0
teamfortress2,0
garry'smod,0
fluently,0
anti,0
aliasing,0
turned,0
1600x900,0
counter,0
strike,0
global,0
offensive,0
warframe,0
30,0
50,0
fps,0
1368x768,0
minecraft,0
40,0
60,0
render,0
distance,0
avoid,0
studdering,0
terrarium,0
highest,0
league,0
legend,0
80,0
fluent,0
played,0
muddle,0
gloomy,0
dark,0
saturated,0
b,0
pic,0
deleting,0
u,0
mean,0
clock,0
frequency,0
unsure,0
guessing,0
auto,0
starcraft,0
mmo,0
sims,0
overwatch,0
friend,0
overheats,0
reach,0
temperature,0
100,0
degree,0
celsius,0
favourite,0
rugged,0
mfgs,0
tend,0
iffy,0
proposition,0
separately,0
order,0
fit,0
geographics,0
managed,0
owner,0
ceo,0
mailed,0
willing,0
mile,0
success,0
honor,0
accessory,0
sorry,0
hint,0
charging,0
indicates,0
charged,0
junk,0
original,0
transformer,0
substitute,0
document,0
90%,0
crawl,0
oomph,0
broke,0
cord,0
loses,0
restart,0
discharged,0
experienced,0
conclusion,0
elsewhere,0
figure,0
eats,0
sub,0
track,0
touchy,0
drag,0
n,0
select,0
customize,0
firefox,0
frustrated,0
win,0
useable,0
excuse,0
budget,0
according,0
title,0
knew,0
therefore,0
gap,0
between,0
each,0
mushy,0
mine,0
active,0
directory,0
credential,0
enter,0
login,0
prompt,0
vpn,0
remote,0
terminal,0
previoiusly,0
bypassing,0
local,0
together,0
resource,0
usable,0
described,0
amazon.com,0
address,0
backlight,0
usb-c,0
thunderbolt,0
obsolete,0
resulted,0
sleeker,0
hardware,0
splendidly,0
linux,0
poorly,0
ubuntu,0
two-finger,0
changing,0
requires,0
crapton,0
command,0
grub,0
config,0
realize,0
provide,0
out-of-the-box,0
regardless,0
blame,0
these,0
compatibility,0
red,0
flag,0
lousy,0
sad,0
cell,0
tragic,0
travel,0
tl,0
;,0
dr,0
linux-compatibility,0
non-tech,0
savy,0
mother,0
smoothly,0
depending,0
ultra-high,0
max,0
example,0
elder,0
laggy,0
higher,0
loud,0
quiet,0
ton,0
signal,0
oh,0
mention,0
turtle,0
gta,0
mod,0
installing,0
lspdfr,0
cause,0
crash,0
h1z1,0
player,0
battleground,0
unknown,0
style,0
blood,0
logo,0
en,0
edge,0
expectatios,0
fallout,0
v,0
board,0
blown,0
telling,0
$259,0
comparable,0
sensitivity,0
strange,0
integrated,0
rubberized,0
schoolwork,0
browse,0
his,0
console,0
brocessing,0
fastest,0
thank,0
failed,0
unresponsive,0
stand,0
wal-mart,0
returned,0
arrives,0
jump,0
maximizes,0
minimizes,0
recognize,0
correct,0
position,0
pull,0
tool,0
finally,0
365,0
adjust,0
closed,0
experience,0
serve,0
shortcoming,0
fully,0
boneheaded,0
likely,0
powered,0
hub,0
installation,0
assortment,0
cable,0
projector,0
neoprene,0
pocket,0
notepad,0
nuff,0
november,0
midway,0
january,0
eventually,0
saying,0
lcd,0
cracked,0
starting,0
cap,0
lock,0
pressed,0
unfixed,0
crack,0
possibility,0
damaged,0
transit,0
protecting,0
bubble,0
wrap,0
adding,0
fragile,0
designation,0
prove,0
self,0
underlying,0
die,0
grateful,0
others,0
gorgeous,0
steal,0
heart,0
tactile,0
feedback,0
reality,0
dock,0
pin,0
misalign,0
detected,0
adjusting,0
aligned,0
recline,0
forward,0
backwards,0
provides,0
uncomfortable,0
edition,0
bsods,0
mainly,0
pertaining,0
anniversary,0
patch,0
oops,0
nicer,0
disappointing,0
package,0
label,0
ripped,0
certain,0
into,0
ie,0
serial,0
re-install,0
documentation,0
guide,0
explains,0
information,0
skeptical,0
attest,0
dad,0
family,0
dog,0
facebooking,0
backlit,0
$600,0
dim,0
include,0
line,0
ac,0
operates,0
annoyed,0
someone,0
clown,0
wished,0
gift,0
preteen,0
grandson,0
moon,0
nextbook,0
seen,0
embarrassed,0
response,0
trust,0
beat,0
firewall,0
restriction,0
corporate,0
inexpensive,0
auditor,0
location,0
check,0
bill,0
shopping,0
usual,0
adjustment,0
accustom,0
sheet,0
suite,0
lately,0
discovered,0
epson,0
run-of-the-mill,0
cloud,0
scan,0
house,0
zillow,0
stall,0
refresh,0
circle,0
spinning,0
asking,0
downloading,0
$140,0
full-fledged,0
operating,0
developing,0
while,0
day-to-day,0
premium,0
solidly,0
32,0
emmc,0
essential,0
64,0
128,0
opinion,0
answered,0
reached,0
phyically,0
individual,0
tiny,0
compare,0
netbooks,0
1010,0
idealpad's,0
75%,0
difficult,0
stay,0
herself,0
young,0
teenager,0
paper,0
watch,0
hulu,0
detailed,0
firstly,0
6700hq,0
$779,0
$1000,0
multitasker,0
similar,0
please,0
perform,0
date,0
sitting,0
manager,0
reportedly,0
wi-fi,0
ethernet,0
rj,0
45,0
function,0
horrendous,0
msi's,0
www.msi.com,0
gl62,0
6qf.html,0
down-driver,0
win10,0
roughly,0
360,0
rendering,0
creation,0
|,0
gtx,0
960m,0
1080p,0
current,0
vram,0
virtual,0
3d,0
streaming,0
twitch,0
2.6,0
ghz,0
turbo,0
3.5,0
usually,0
3.1,0
thread,0
mid-level,0
lucky,0
extensive,0
e.g,0
doable,0
rgb,0
knowledge,0
solid-state,0
wicked,0
load,0
7200,0
rpm,0
storing,0
c,0
confused,0
ddr4,0
ddr3,0
15.6,0
1920x1080p,0
ip,0
in-plane,0
matte,0
weighs,0
5.3,0
lb,0
ready,0
idle,0
insert,0
g,0
3200,0
3300,0
ear,0
sony,0
vega,0
170,0
fahrenheit,0
76.67,0
warm,0
went,0
200,0
prevent,0
overheating,0
generally,0
38,0
39,0
norton,0
trial,0
defender,0
msi,0
dragon,0
center,0
stats,0
%,0
arise,0
mid-upper,0
all-around,0
hopefully,0
capture,0
~,0
inoperable,0
unregisterable,0
wi,0
fi,0
tooth,0
troubleshooting,0
i3,0
ship,0
understanding,0
delay,0
own,0
pavilion,0
horizontally,0
calling,0
clearly,0
accessing,0
easier,0
virus,0
pc's,0
universe,0
you'll,0
share,0
account,0
1080,0
data,0
sturdy,0
designed,0
smart,0
simpler,0
sufficient,0
suggestion,0
coming,0
handed,0
wire,0
outstanding,0
prime,0
showed,0
selected,0
specifically,0
x86,0
_,0
platform,0
arm,0
cumbersome,0
in-house,0
on-the-go,0
development,0
delightful,0
wiped,0
arch,0
chromeos,0
felt,0
well-polished,0
user-friendly,0
architecture,0
unique,0
specific,0
related,0
they're,0
intended,0
apply,0
intending,0
wipe,0
talking,0
disregard,0
logged,0
sat,0
syncing,0
preference,0
ultimately,0
restarted,0
informed,0
error,0
communicating,0
enabling,0
developer,0
recovery,0
greeted,0
informing,0
corrupt,0
restore,0
proceed,0
reset,0
locate,0
proper,0
acting,0
write-protect,0
jumper,0
removed,0
successfully,0
flashing,0
closest,0
near,0
doing,0
unsupported,0
john,0
lewis's,0
seabios,0
transition,0
resulting,0
compiling,0
kernel,0
aware,0
push,0
thin-client,0
remoting,0
screw-around,0
14,0
brilliant,0
transferred,0
upload,0
flash,0
canon,0
cursor,0
bro,0
18,0
downloaded,0
became,0
unusable,0
trusted,0
downloads,0
de-bug,0
explorer,0
appears,0
packaging,0
frame,0
rate,0
total,0
reformat,0
goto,0
notebookreview,0
info,0
chiclet,0
kill,0
re,0
esata,0
claimed,0
vmware,0
i5,0
quicker,0
duo,0
h,0
broadcom,0
accelerator,0
retailer,0
interested,0
sorted,0
settled,0
webcam,0
responding,0
skip,0
message,0
pop,0
memomery,0
chance,0
mere,0
damage,0
reasonable,0
show,0
state-of-art,0
p4,0
1.6ghz,0
provided,0
tft,0
fasionable,0
attractive,0
younth,0
win2000,0
knowing,0
*,0
pissed,0
bed,0
nerve,0
agree,0
winxp,0
spending,0
horribly,0
inadequate,0
networking,0
communicate,0
configured,0
performing,0
thesis,0
math,0
modeling,0
crunching,0
2.4ghz,0
desk,0
synthesizer,0
hitting,0
market,0
midi,0
choke,0
sample,0
meaning,0
512mb,0
steinberg's,0
grand,0
real-time,0
latency,0
non-asio,0
pcmcia,0
bus,0
peripheral,0
performer,0
connectivity,0
3xusb,0
firewire,0
modem,0
802.11b,0
svga,0
ir,0
2xpcmcia,0
shoved,0
throat,0
reviewer,0
xbrite,0
movie,0
group,0
burning,0
copied,0
jr,0
bewcasue,0
recived,0
military,0
deployment,0
iraq,0
orderd,0
followed,0
becasue,0
route,0
continue,0
untill,0
whcich,0
late,0
1200,0
wasteing,0
lug,0
spot,0
town,0
clarity,0
appreciated,0
adapter,0
bulky,0
targa,0
backpack,0
spotted,0
loved,0
burner,0
combo,0
burn,0
.2,0
attach,0
pie,0
ibook,0
tiger,0
pleasure,0
switched,0
multiple,0
rebate,0
spacing,0
comfortable,0
lapotp,0
popular,0
stylish,0
ultra-light,0
sharp,0
deficiency,0
bare,0
burned,0
sit,0
yoir,0
knee,0
thrilled,0
ultra-portable,0
toshibas,0
encountered,0
destructive,0
unacceptable,0
assigned,0
whose,0
voice,0
mail,0
insult,0
number,0
call,0
busy,0
countless,0
conflicting,0
uninformed,0
intelligible,0
techie,0
serviced,0
fried,0
static,0
shock,0
microfiber,0
couch,0
hooking,0
hdtv,0
stability,0
wired,0
breaking,0
solves,0
report,0
posted,0
waiting,0
sold,0
dell's,0
reputation,0
broken,0
private,0
surf,0
e,0
flicker,0
written,0
attorney,0
irvine,0
california,0
headquarters,0
ed,0
philadelphia,0
el,0
excelente,0
aunque,0
su,0
precio,0
elevado,0
respecto,0
al,0
costo,0
que,0
mismo,0
tiene,0
vendido,0
por,0
propia,0
lamentablemente,0
permite,0
comprar,0
equipos,0
tarjetas,0
de,0
credito,0
internacionales,0
pagina,0
yup,0
gt627,0
218us,0
top-of-the-line,0
immediately,0
noticed,0
float,0
non-brand,0
fell,0
apart,0
dissappointed,0
appear,0
constructed,0
originally,0
roomy,0
lithium-ion,0
nicad,0
shelf,0
all-time,0
battlefield,0
1942,0
unbeatable,0
returning,0
cmpares,0
gonna,0
closer,0
acceptable,0
outweighs,0
literally,0
cute,0
slim,0
99%,0
unplugging,0
constant,0
vertical,0
thick,0
uniform,0
e-mailed,0
anywhere,0
90,0
disposale,0
blank,0
chatting,0
rep,0
199,0
$,0
demanded,0
landfill,0
